Jahr,Austragungsort,Sieger,Ergebnis,Finalist,Gesamt,Sieger.1,Nationalität,Tournament
2020,"Sparkassen-Arena, Jena",Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,COVID-19-Pandemie,German Darts Open
2021,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,,German Darts Open
2022,"Sparkassen-Arena, Jena",Peter Wright,8 : 6,Dimitri Van den Bergh,0£ 140.000,0£ 25.000,Schottland,German Darts Open
2023,"Sparkassen-Arena, Jena",Krzysztof Ratajski,8 : 3,Stephen Bunting,0£ 175.000,0£ 30.000,Polen,German Darts Open
2013,"Victoria Stadium, Gibraltar",Phil Taylor,6 : 1,Jamie Lewis,0£ 100.000,0£ 20.000,England,Gibraltar Darts Trophy
2014,"Victoria Stadium, Gibraltar",James Wade,6 : 4,Steve Beaton,0£ 100.000,0£ 20.000,England,Gibraltar Darts Trophy
2015,"Victoria Stadium, Gibraltar",Michael van Gerwen,6 : 3,Terry Jenkins,0£ 115.000,0£ 25.000,Niederlande,Gibraltar Darts Trophy
2016,"Victoria Stadium, Gibraltar",Michael van Gerwen,6 : 2,Dave Chisnall,0£ 115.000,0£ 25.000,Niederlande,Gibraltar Darts Trophy
2017,"Victoria Stadium, Gibraltar",Michael Smith,6 : 4,Mensur Suljović,0£ 135.000,0£ 25.000,England,Gibraltar Darts Trophy
2018,"Victoria Stadium, Gibraltar",Michael van Gerwen,8 : 3,Adrian Lewis,0£ 135.000,0£ 25.000,Niederlande,Gibraltar Darts Trophy
2019,"Victoria Stadium, Gibraltar",Krzysztof Ratajski,8 : 2,Dave Chisnall,0£ 140.000,0£ 25.000,Polen,Gibraltar Darts Trophy
2020,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,COVID-19-Pandemie,Gibraltar Darts Trophy
2021,"Europa Sports Park, Gibraltar",Gerwyn Price,8 : 0,Mensur Suljović,0£ 140.000,0£ 25.000,Wales,Gibraltar Darts Trophy
2022,"Victoria Stadium, Gibraltar",Damon Heta,8 : 7,Peter Wright,0£ 140.000,0£ 25.000,,Gibraltar Darts Trophy
2020,"ÉRD Aréna, Budapest",Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,Abgesagt wegen der COVID-19-Pandemie,COVID-19-Pandemie,Hungarian Darts Trophy
2021,"Papp László Sportaréna, Budapest",Gerwyn Price,8 : 2,Michael Smith,0£ 140.000,0£ 25.000,Wales,Hungarian Darts Trophy
2022,"Papp László Sportaréna, Budapest",Joe Cullen,8 : 2,William O’Connor,0£ 140.000,0£ 25.000,England,Hungarian Darts Trophy
2023,"MVM Dome, Budapest",Dave Chisnall,8 : 7,Luke Humphries,0£ 175.000,0£ 30.000,England,Hungarian Darts Trophy
2024,"MVM Dome, Budapest",Michael van Gerwen,8 : 7,Gian van Veen,0£ 175.000,0£ 30.000,Niederlande,Hungarian Darts Trophy
2025,"MVM Dome, Budapest",,:,,0£ 175.000,0£ 30.000,,Hungarian Darts Trophy
2015,"Sachsen-Arena, Riesa",Michael Smith,6 : 3,Benito van de Pas,0£ 115.000,0£ 25.000,England,International Darts Open
2016,"Sachsen-Arena, Riesa",Mensur Suljović,6 : 5,Kim Huybrechts,0£ 115.000,0£ 25.000,Österreich,International Darts Open
2017,"Sachsen-Arena, Riesa",Peter Wright,6 : 5,Kim Huybrechts,0£ 135.000,0£ 25.000,Schottland,International Darts Open
2018,"Sachsen-Arena, Riesa",Gerwyn Price,8 : 3,Simon Whitlock,0£ 135.000,0£ 25.000,Wales,International Darts Open
2019,"Sachsen-Arena, Riesa",Gerwyn Price,8 : 6,Rob Cross,0£ 140.000,0£ 25.000,Wales,International Darts Open
2020,"Sachsen-Arena, Riesa",Joe Cullen,8 : 5,Michael van Gerwen,0£ 140.000,0£ 25.000,England,International Darts Open
2021,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,nicht ausgetragen,,International Darts Open
2022,"WT Energiesysteme Arena (bis 2023: Sachsen-Arena), Riesa",Gerwyn Price,8 : 4,Peter Wright,0£ 140.000,0£ 25.000,Wales,International Darts Open
2023,"WT Energiesysteme Arena (bis 2023: Sachsen-Arena), Riesa",Gerwyn Price,8 : 4,Michael van Gerwen,0£ 175.000,0£ 30.000,Wales,International Darts Open
2024,"WT Energiesysteme Arena (bis 2023: Sachsen-Arena), Riesa",Martin Schindler,8 : 5,Gerwyn Price,0£ 175.000,0£ 30.000,,International Darts Open
2025,"WT Energiesysteme Arena (bis 2023: Sachsen-Arena), Riesa",,:,,0£ 175.000,0£ 30.000,,International Darts Open
2024,"St. Jakobshalle, Basel",Martin Schindler,8 : 7,Ryan Searle,0£ 175.000,0£ 30.000,Deutschland,Swiss Darts Trophy
2025,"St. Jakobshalle, Basel",,:,,0£ 175.000,0£ 30.000,,Swiss Darts Trophy
