Date, Tournament, Rank, Winner_Name, Average
02/28/2021,EADC Pro Tour 3,-,Alexei Kadochnikov,81.04
02/28/2021,Players Championship 4,PT,Jonny Clayton,98.52
03/06/2021,DPA Pro Tour - NSW 3,-,Brendan Porter,70.25
03/06/2021,DPA Pro Tour - QLD 3,-,Robbie King,82.64
03/06/2021,DPA Pro Tour - VIC 3,-,Aaron Simpson,76.91
03/06/2021,DPA Pro Tour - WA 1,-,Tim Pusey,79
03/07/2021,UK Open,MJ,James Wade,99.72
03/07/2021,DPA Pro Tour - NSW 4,-,Dave Marland,80.47
03/07/2021,DPA Pro Tour - QLD 4,-,Shaun Kopecki,76.65
03/07/2021,DPA Pro Tour - VIC 4,-,Brody Klinge,76.85
03/07/2021,DPA Pro Tour - WA 2,-,Koha Kokiri,76.41
03/13/2021,DPA Pro Tour - ACT 1,-,Jake Buckley,63.61
03/13/2021,DPA Pro Tour - SA 1,-,Andy Pinder,78.47
03/14/2021,DPA Pro Tour - ACT 2,-,Greg Le Strange,72.04
03/14/2021,DPA Pro Tour - SA 2,-,Andy Pinder,70.28
03/16/2021,Players Championship 5,PT,Brendan Dolan,102.19
03/17/2021,Players Championship 6,PT,Gerwyn Price,102.89
03/18/2021,Players Championship 7,PT,Jonny Clayton,98.9
03/19/2021,Players Championship 8,PT,Peter Wright,102.9
03/20/2021,DPA Pro Tour - WA 3,-,Tim Pusey,82.62
03/21/2021,DPA Pro Tour - WA 4,-,Bailey Marsh,79.19
04/10/2021,DPA Pro Tour - ACT 3,-,Mathew Leahy,72.44
04/10/2021,DPA Pro Tour - VIC 5,-,Sam Ballinger,78.79
04/11/2021,DPA Pro Tour - ACT 4,-,Bryson Williams,65.56
04/11/2021,DPA Pro Tour - VIC 6,-,Brandon Weening,77.96
04/17/2021,DPA Pro Tour - NSW 5,-,Mitchell Clegg,71.77
04/18/2021,DPA Pro Tour - NSW 6,-,Dave Marland,75.7
04/22/2021,German Super League,-,Martin Schindler,92.13
04/24/2021,CDC Cyber Series 1,-,Jacob Taylor,93.87
04/24/2021,EADC Pro Tour 4,-,Evgeni Izotov,78.72
04/24/2021,EADC Pro Tour 5,-,Dmitri Gorbunov,78.37
04/24/2021,Players Championship 9,PT,Jose De Sousa,102.88
04/25/2021,EADC Pro Tour 6,-,Dmitri Gorbunov,85.13
04/25/2021,Players Championship 10,PT,Michael Smith,98.71
04/26/2021,Players Championship 11,PT,Dirk van Duijvenbode,95.72
04/27/2021,Players Championship 12,PT,Dimitri Van den Bergh,99.06
05/01/2021,DPA Pro Tour - QLD 5,-,Robbie King,83.61
05/01/2021,DPA Pro Tour - SA 3,-,Rob Modra,73.14
05/01/2021,DPA Pro Tour - VIC 7,-,Steve Powell,79.71
05/02/2021,DPA Pro Tour - QLD 6,-,James Bailey,78.48
05/02/2021,DPA Pro Tour - SA 4,-,Rob Modra,74.43
05/02/2021,DPA Pro Tour - VIC 8,-,Brody Klinge,83.95
05/12/2021,World Championship - Assen Qualifier Boys,-,,
05/12/2021,World Championship - Assen Qualifier Girls,-,Wibke Riemann,60.47
05/12/2021,World Championship - Assen Qualifier Men,-,,
05/12/2021,World Championship - Assen Qualifier Women,-,Marjolein Noijens,63.55
05/12/2021,World Championship - Lakeside Qualifier Boys,-,,
05/12/2021,World Championship - Lakeside Qualifier Girls,-,Eleanor Cairns,61.71
05/12/2021,World Championship - Lakeside Qualifier Men,-,,
05/12/2021,World Championship - Lakeside Qualifier Women,-,Rhian O Sullivan,67.42
05/15/2021,DPA Pro Tour - NSW 7,-,Dave Marland,72.79
05/15/2021,DPA Pro Tour - WA 5,-,Brent Lloyd,70.12
05/16/2021,DPA Pro Tour - NSW 8,-,Mitchell Clegg,73.8
05/16/2021,DPA Pro Tour - WA 6,-,Koha Kokiri,84.32
05/22/2021,CDC Cyber Series 2,-,Matt Campbell,90.74
05/22/2021,JDC Q School 1,-,Connor Hopkins,74.74
05/22/2021,JDC Q School 2,-,Mitchell Elliot Bailey,73.05
05/23/2021,JDC Q School 3,-,Tavis Dudeney,63.77
05/23/2021,JDC Q School 4,-,Jensen Walker,61.63
05/28/2021,Premier League,U,Jonny Clayton,99.6
06/05/2021,DPA Pro Tour - QLD 7,-,Bill Aitken,78.65
06/05/2021,DPA Pro Tour - SA 5,-,Rob Modra,75.96
06/06/2021,DPA Pro Tour - QLD 8,-,Matt Mullen,81.96
06/06/2021,DPA Pro Tour - SA 6,-,Rob Modra,77.18
06/12/2021,DPA Pro Tour - WA 7,-,Tim Pusey,86.36
06/13/2021,DPA Pro Tour - WA 8,-,Koha Kokiri,75.47
06/14/2021,Players Championship 13,PT,Joe Cullen,95.03
06/15/2021,Players Championship 14,PT,Jose De Sousa,98.37
06/16/2021,Players Championship 15,PT,Jose De Sousa,100.3
06/17/2021,Players Championship 16,PT,Peter Wright,100.39
06/19/2021,DPA Pro Tour - NSW 9,-,Dave Marland,80.4
06/19/2021,JDC Foundation Tour 1,-,Cayden Smith,70.73
06/19/2021,JDC Foundation Tour 2,-,Pim van Bijnen,78.11
06/20/2021,DPA Pro Tour - NSW 10,-,Dave Marland,73.24
06/20/2021,JDC Advanced Tour 1,-,Leighton Bennett,87.52
06/20/2021,JDC Advanced Tour 2,-,Connor Hopkins,78.18
06/26/2021,CDC Cyber Series 3,-,Alex Spellman,85.11
07/02/2021,Challenge Tour - EU 1,-,Matt Campbell,82.99
07/02/2021,Challenge Tour - EU 2,-,Kevin Doets,90.99
07/03/2021,Challenge Tour - EU 3,-,Rowby-John Rodriguez,87.03
07/03/2021,Challenge Tour - EU 4,-,Steven Noster,81.19
07/03/2021,JDC Foundation Tour 3,-,Pim van Bijnen,79.32
07/03/2021,JDC Foundation Tour 4,-,Pim van Bijnen,74.08
07/04/2021,Challenge Tour - EU 5,-,Matt Campbell,91.26
07/04/2021,Challenge Tour - EU 6,-,Kenny Neyens,86.7
07/04/2021,JDC Advanced Tour 3,-,Luke Littler,84.45
07/04/2021,JDC Advanced Tour 4,-,Leighton Bennett,88.58
07/05/2021,European Tour Associate Member Qualifier 1,Q,Richard Veenstra,91.72
07/05/2021,European Tour Associate Member Qualifier 2,Q,Kenny Neyens,90.86
07/05/2021,European Tour Associate Member Qualifier 3,Q,Danny van Trijp,88.29
07/05/2021,Players Championship 17,PT,Stephen Bunting,96.68
07/06/2021,Players Championship 18,PT,Chris Dobey,100.96
07/07/2021,Players Championship 19,PT,Ross Smith,97.64
07/08/2021,Players Championship 20,PT,Peter Wright,101.49
07/09/2021,CDC Evolution Tour 1,-,Joey Lynaugh,78.08
07/09/2021,CDC Junior Tour 1,-,Bryar Redman,47.51
07/09/2021,CDC Pro Tour Qualifier 1,-,Brandon Brown,71.61
07/09/2021,CDC USA Series 1,-,Daniel Lauby Jr.,83.67
07/09/2021,European Tour Card Holder Qualifier 1,Q,,
07/09/2021,European Tour Card Holder Qualifier 2,Q,,
07/09/2021,European Tour Card Holder Qualifier 3,Q,,
07/10/2021,CDC Evolution Tour 2,-,Seth Steffano,71.61
07/10/2021,CDC Junior Tour 2,-,Kaden Anderson,62.59
07/10/2021,CDC Pro Tour Qualifier 2,-,,
07/10/2021,CDC USA Series 2,-,Daniel Lauby Jr.,83.19
07/10/2021,JDC Foundation Tour 5,-,Joshua James-Powell,65.33
07/10/2021,JDC Foundation Tour 6,-,Cayden Smith,64.27
07/11/2021,CDC Evolution Tour 3,-,Joey Lynaugh,84.04
07/11/2021,CDC Junior Tour 3,-,PJ Stewart,68.45
07/11/2021,CDC Pro Tour Qualifier 3,-,,
07/11/2021,CDC USA Series 3,-,Leonard Gates,89.16
07/11/2021,JDC Advanced Tour 5,-,Henry Coates,79.9
07/11/2021,JDC Advanced Tour 6,-,Leighton Bennett,88.54
07/17/2021,DPA Pro Tour - WA 9,-,Bailey Marsh,77.56
07/18/2021,DPA Pro Tour - WA 10,-,Bailey Marsh,73.68
07/23/2021,CDC Matchplay,-,Jules Van Dongen,90.88
07/24/2021,JDC Foundation Tour 7,-,Pim van Bijnen,76.53
07/24/2021,JDC Foundation Tour 8,-,Pim van Bijnen,72.69
07/24/2021,World Championship - Philippines Qualifier,Q,,
07/24/2021,World Championship - Philippines Qualifier,Q,Lourence Ilagan,86.44
07/25/2021,World Matchplay,MJ,Peter Wright,104.91
07/25/2021,JDC Advanced Tour 7,-,Leighton Bennett,81.31
07/25/2021,JDC Advanced Tour 8,-,Luke Littler,87.53
07/31/2021,European Tour Eastern Europe Qualifier 1,Q,János Végső,3
07/31/2021,European Tour Eastern Europe Qualifier 2,Q,Patrick Kovacs,3
07/31/2021,European Tour Home Nation Qualifier 1,Q,,
07/31/2021,Japanese World Cup Qualifier,-,Toyokazu Shibata,82.38
08/02/2021,Players Championship 21,PT,Gerwyn Price,104.11
08/03/2021,Players Championship 22,PT,Ryan Searle,101.19
08/04/2021,Players Championship 23,PT,Peter Wright,99.95
08/06/2021,Challenge Tour - UK 1,-,Darren Beveridge,85.87
08/06/2021,Challenge Tour - UK 2,-,Jim Williams,87.72
08/07/2021,Challenge Tour - UK 3,-,Jim McEwan,94.72
08/07/2021,Challenge Tour - UK 4,-,Adam Smith-Neale,90.59
08/07/2021,JDC Foundation Tour 9,-,Pim van Bijnen,65.75
08/07/2021,JDC Foundation Tour 10,-,Evan Willoughby,67.68
08/08/2021,Challenge Tour - UK 5,-,Shaun McDonald,89.32
08/08/2021,Challenge Tour - UK 6,-,Jamie Clark,95.05
08/08/2021,JDC Advanced Tour 9,-,Tavis Dudeney,81.35
08/08/2021,JDC Advanced Tour 10,-,Luke Littler,80.96
08/09/2021,European Tour Associate Member Qualifier 1,Q,Thomas Lovely,87.53
08/09/2021,European Tour Associate Member Qualifier 2,Q,Adam Smith-Neale,81.53
08/13/2021,CDC Canadian Series 1,-,Dave Cameron,87.87
08/13/2021,CDC Pro Tour Qualifier 1,-,,
08/14/2021,CDC Canadian Series 2,-,Matt Campbell,87.17
08/14/2021,CDC Pro Tour Qualifier 2,-,,
08/14/2021,JDC Foundation Tour 11,-,Pim van Bijnen,68.36
08/14/2021,JDC Foundation Tour 12,-,Pim van Bijnen,70.23
08/15/2021,CDC Canadian Series 3,-,Jeff Smith,94.69
08/15/2021,CDC Pro Tour Qualifier 3,-,,
08/15/2021,JDC Advanced Tour 11,-,Leighton Bennett,90.63
08/15/2021,JDC Advanced Tour 12,-,Leighton Bennett,90.45
08/19/2021,Nordic Baltic Tour 1,-,Daniel Larsson,89.68
08/20/2021,Development Tour - EU 1,-,Jurjen van der Velde,85.29
08/20/2021,Development Tour - EU 2,-,Rusty-Jake Rodriguez,94.38
08/20/2021,Development Tour - UK 1,-,Reece Colley,89.08
08/20/2021,Development Tour - UK 2,-,Keelan Kay,87.34
08/20/2021,Nordic Baltic Tour 2,-,Madars Razma,84.54
08/20/2021,Nordic Baltic Tour 3,-,Andreas Toft Jorgensen,79.52
08/21/2021,Development Tour - EU 3,-,Kevin Doets,86.51
08/21/2021,Development Tour - EU 4,-,Niels Zonneveld,89.72
08/21/2021,Development Tour - UK 3,-,Dom Taylor,85.17
08/21/2021,Development Tour - UK 4,-,Liam Meek,79.86
08/21/2021,Nordic Baltic Tour 4,-,Marko Kantele,84.85
08/21/2021,Nordic Baltic Tour 5,-,Madars Razma,88.86
08/22/2021,Development Tour - EU 5,-,Rusty-Jake Rodriguez,91.59
08/22/2021,Development Tour - EU 6,-,Rusty-Jake Rodriguez,93.45
08/22/2021,Development Tour - UK 5,-,Nathan Rafferty,82.17
08/22/2021,Development Tour - UK 6,-,Bradley Brooks,90.34
08/22/2021,World Series Qualifier,Q,Johan Engstrom,84.43
08/29/2021,Hungarian World Cup Qualifier 1,-,Patrick Kovacs,82.54
08/29/2021,Hungarian World Cup Qualifier 2,-,János Végső,82.89
09/03/2021,CDC Shootout,-,Alex Spellman,85.17
09/03/2021,Challenge Tour - EU 7,-,José Justicia,92.56
09/03/2021,Challenge Tour - EU 8,-,Toni Alcinas,87.33
09/03/2021,Challenge Tour - UK 7,-,Martin Thomas,91.25
09/03/2021,Challenge Tour - UK 8,-,Matthew Dennant,90.85
09/04/2021,Challenge Tour - EU 9,-,Steven Noster,90.34
09/04/2021,Challenge Tour - EU 10,-,Sebastian Bialecki,92.82
09/04/2021,Challenge Tour - UK 9,-,Reece Robinson,91.83
09/04/2021,Challenge Tour - UK 10,-,Nathan Rafferty,90.75
09/05/2021,Challenge Tour - EU 11,-,Matt Campbell,90.62
09/05/2021,Challenge Tour - EU 12,-,Luc Peters,86.82
09/05/2021,Challenge Tour - UK 11,-,James Richardson,88.27
09/05/2021,Challenge Tour - UK 12,-,Cameron Menzies,92.38
09/05/2021,European Tour 1,ET,Gerwyn Price,97.71
09/12/2021,World Cup,U,,
09/13/2021,Chinese Premier League,-,,
09/17/2021,CDC Pro Tour Qualifier 4,-,Seth Steffano,74.56
09/17/2021,CDC USA Series 4,-,Adam Sevada,89.94
09/18/2021,CDC Pro Tour Qualifier 5,-,,
09/18/2021,CDC USA Series 5,-,Seth Steffano,86.94
09/18/2021,World Series of Darts 1,U,Michael van Gerwen,100.28
09/19/2021,CDC Pro Tour Qualifier 6,-,,
09/19/2021,CDC USA Series 6,-,Kevin Luke,83.18
09/25/2021,Women's Series 1,-,Lisa Ashton,84.32
09/25/2021,Women's Series 2,-,Fallon Sherrock,84.37
09/25/2021,Women's Series 3,-,Fallon Sherrock,87.39
09/26/2021,European Tour 2,ET,Gerwyn Price,101.92
09/26/2021,Hungarian Super League,-,Patrick Kovacs,79.61
09/26/2021,Women's Series 4,-,Lisa Ashton,82.86
09/26/2021,Women's Series 5,-,Lisa Ashton,89.69
09/26/2021,Women's Series 6,-,Fallon Sherrock,88.69
10/09/2021,World Grand Prix,MJ,Jonny Clayton,93.98
10/10/2021,PDJ Japanese Championship,-,Yuki Yamada,87.05
10/15/2021,DPA Pro Tour - QLD 9,-,Raymond Smith,82.84
10/15/2021,DPA Pro Tour - QLD 10,-,Jeremy Fagg,88.22
10/16/2021,British Classic Men,-,Jim McEwan,83.01
10/16/2021,British Classic Women,-,Lorraine Hyde,69.38
10/17/2021,British Open Men,-,Scott Marsh,90.72
10/17/2021,British Open Women,-,Fallon Sherrock,77.4
10/17/2021,European Championship,MJ,Rob Cross,93.61
10/17/2021,World Championship - South and Central America Qualifier,Q,Diogo Portela,78.21
10/18/2021,World Series Finals Tour Card Qualifier,Q,,
10/19/2021,Players Championship 24,PT,Dimitri Van den Bergh,103.25
10/20/2021,Players Championship 25,PT,Callan Rydz,96.97
10/21/2021,Players Championship 26,PT,Rob Cross,100.08
10/22/2021,CDC Canadian Series 4,-,John Norman Jr.,89
10/22/2021,CDC Pro Tour Qualifier 4,-,,
10/22/2021,Players Championship 27,PT,Michael Smith,94.73
10/22/2021,Welsh Classic Men,-,Thibault Tricole,90.2
10/22/2021,Welsh Classic Women,-,Beau Greaves,73.85
10/23/2021,CDC Canadian Series 5,-,John Norman Jr.,87.74
10/23/2021,CDC Pro Tour Qualifier 5,-,,
10/23/2021,Women's Series 7,-,Fallon Sherrock,89.77
10/23/2021,Women's Series 8,-,Lisa Ashton,86.48
10/23/2021,Women's Series 9,-,Fallon Sherrock,86.12
10/24/2021,CDC Canadian Series 6,-,Jacob Taylor,92.04
10/24/2021,CDC Pro Tour Qualifier 6,-,,
10/24/2021,Welsh Open Men,-,Cameron Menzies,92.42
10/24/2021,Welsh Open Women,-,Kirsty Hutchinson,71.44
10/24/2021,Women's Series 10,-,Lisa Ashton,86.91
10/24/2021,Women's Series 11,-,Fallon Sherrock,87.61
10/24/2021,Women's Series 12,-,Mikuru Suzuki,81.18
10/28/2021,Kyle Anderson Memorial,-,Darren Armstrong,86.13
10/28/2021,Kyle Anderson Memorial Qualifier,-,Brody Klinge,86.86
10/29/2021,Development Tour - UK 7,-,Ted Evetts,92.7
10/29/2021,Development Tour - UK 8,-,Bradley Brooks,87.06
10/30/2021,Development Tour - UK 9,-,Keelan Kay,84.52
10/30/2021,Development Tour - UK 10,-,Reece Colley,84.15
10/30/2021,Oceanic Masters,-,Ky Smith,82.75
10/30/2021,World Championship - Australian Qualifier,-,Raymond Smith,88.87
10/31/2021,Development Tour - UK 11,-,Nathan Rafferty,83.32
10/31/2021,Development Tour - UK 12,-,Bradley Brooks,88.63
10/31/2021,World Championship - EADC Qualifier,-,Boris Koltsov,83.73
10/31/2021,World Series of Darts Finals,U,Jonny Clayton,98.69
11/02/2021,Players Championship 28,PT,Chris Dobey,102.19
11/03/2021,Players Championship 29,PT,Michael van Gerwen,100.23
11/04/2021,Players Championship 30,PT,Krzysztof Ratajski,96.82
11/05/2021,Development Tour - EU 7,-,Rusty-Jake Rodriguez,97.06
11/05/2021,Development Tour - EU 8,-,Sebastian Bialecki,85.19
11/05/2021,Grand Slam Qualifier,Q,,
11/06/2021,Development Tour - EU 9,-,Rusty-Jake Rodriguez,92.74
11/06/2021,Development Tour - EU 10,-,Fabian Schmutzler,85.04
11/06/2021,JDC Super 16 Final - Boys,-,Luke Littler,85.89
11/06/2021,JDC Super 16 Final - Girls,-,Eleonor Cairns,55.86
11/06/2021,World Championship - Japan Qualifier,-,Toyokazu Shibata,90.72
11/07/2021,Development Tour - EU 11,-,Fabian Schmutzler,83.87
11/07/2021,Development Tour - EU 12,-,Nico Kurz,86.34
11/12/2021,World Seniors Darts Tour Pre-qualifier Event,-,Colin McGarry,84.44
11/13/2021,Seacoast Open Men,-,Jules Van Dongen,80.83
11/13/2021,Seacoast Open Women,-,Paula Murphy,63.12
11/13/2021,World Championship - Eastern Europe Qualifier,-,Roman Benecky,83.8
11/13/2021,World Championship - Western Europe Qualifier,-,Chris Landman,86.78
11/13/2021,World Seniors Championship Qualifier 1,-,Richie Howson,84.86
11/13/2021,World Youth Championship - Eastern Europe Qualifier,-,Bence Katona,75.45
11/14/2021,World Seniors Championship Qualifier 2,-,Kevin Burness,86.49
11/14/2021,World Youth Championship - Western Europe Qualifier,-,Owen Roelofs,85.49
11/20/2021,CDC Continental Cup,-,Jeff Smith,83.5
11/20/2021,World Championship - Southeast Europe Qualifier,-,John Michael,80.36
11/21/2021,Grand Slam,MJ,Gerwyn Price,99.09
11/21/2021,World Youth Championship - Southeast Europe Qualifier,-,Tobias Fischer,68.87
11/24/2021,JDC International Open,-,Luke Littler,88.72
11/25/2021,JDC Masters,-,Luke Littler,87.54
11/28/2021,Players Championship Finals,MJ,Peter Wright,95.74
11/28/2021,World Youth Championship,-,Ted Evetts,92.01
11/29/2021,World Championship Tour Card Holder Qualifier,Q,,
12/18/2021,JDC World Championship,-,Bradley Roes,77.75
01/03/2022,World Championship,WC,Peter Wright,100.04
01/09/2022,"EU Q School - Stage 1, Group A 1",Q,,
01/09/2022,"EU Q School - Stage 1, Group B 1",Q,,
01/09/2022,"UK Q School - Stage 1, Group A 1",Q,,
01/10/2022,"EU Q School - Stage 1, Group A 2",Q,,
01/10/2022,"EU Q School - Stage 1, Group B 2",Q,,
01/10/2022,"UK Q School - Stage 1, Group A 2",Q,,
01/11/2022,"EU Q School - Stage 1, Group A 3",Q,,
01/11/2022,"EU Q School - Stage 1, Group B 3",Q,,
01/11/2022,"UK Q School - Stage 1, Group A 3",Q,,
01/12/2022,EU Q School - Stage 2 1,Q,José Justicia,93.77
01/12/2022,UK Q School - Stage 2 1,Q,James Wilson,91.23
01/13/2022,EU Q School - Stage 2 2,Q,Brian Raman,87.9
01/13/2022,UK Q School - Stage 2 2,Q,Darren Webster,90.89
01/14/2022,EU Q School - Stage 2 3,Q,Luc Peters,87.52
01/14/2022,Las Vegas Open Men,-,Jim Widmayer,77.17
01/14/2022,Las Vegas Open Women,-,Julie Weger,59.36
01/14/2022,UK Q School - Stage 2 3,Q,Ross Montgomery,90.44
01/15/2022,EU Q School - Stage 2 4,Q,Krzysztof Kciuk,87.98
01/15/2022,JDC Q School 1,-,Peter Stewart Jr,74.74
01/15/2022,JDC Q School 2,-,Riley Rees-Tucker,79.91
01/15/2022,UK Q School - Stage 2 4,Q,Josh Rock,94.04
01/16/2022,JDC Q School 3,-,Logan Gilmour,70.49
01/16/2022,JDC Q School 4,-,Daniel Stephenson,70.02
01/21/2022,Challenge Tour 1,-,Scott Williams,91.76
01/21/2022,Challenge Tour 2,-,Scott Williams,91.29
01/22/2022,Challenge Tour 3,-,Steve Haggerty,81.49
01/22/2022,Challenge Tour 4,-,Stu Wilson,87.9
01/23/2022,Challenge Tour 5,-,Jim McEwan,90.83
01/28/2022,European Tour Nordic and Baltic Qualifier 2,Q,Marko Kantele,86.93
01/29/2022,European Tour Nordic and Baltic Qualifier 3,Q,Daniel Larsson,81.78
01/29/2022,Nordic Baltic Tour 1,-,Vladimir Andersen,85.3
01/30/2022,Masters,U,Joe Cullen,98.61
01/30/2022,Nordic Baltic Tour 2,-,Madars Razma,88.9
02/05/2022,Players Championship 1,PT,Luke Humphries,98.88
02/06/2022,Players Championship 2,PT,Peter Wright,96.84
02/06/2022,World Seniors Championship,-,Robert Thornton,91.08
02/11/2022,DPA Pro Tour 1,-,Tim Pusey,82.35
02/11/2022,DPA Pro Tour - NSW 2,-,Jake Buckley,70.35
02/11/2022,DPA Pro Tour - QLD 2,-,Raymond O'Donnell,80.29
02/11/2022,DPA Pro Tour - SA 2,-,Danny Porter,74.8
02/11/2022,DPA Pro Tour - VIC 2,-,Mal Cuming,82.74
02/11/2022,DPA Pro Tour - WA 2,-,Tim Pusey,87.83
02/11/2022,European Tour Card Holder Qualifier 2,Q,,
02/11/2022,European Tour Card Holder Qualifier 3,Q,,
02/12/2022,JDC Advanced Tour 1,-,Luke Littler,82.27
02/12/2022,JDC Advanced Tour 2,-,Leighton Bennett,86.28
02/12/2022,Players Championship 3,PT,Joe Cullen,91.2
02/13/2022,DPA Pro Tour - NSW 3,-,Mark Taafe,68.63
02/13/2022,DPA Pro Tour - QLD 3,-,Raymond Smith,90.6
02/13/2022,DPA Pro Tour - SA 3,-,Danny Porter,79.35
02/13/2022,DPA Pro Tour - VIC 3,-,Mal Cuming,81.93
02/13/2022,DPA Pro Tour - WA 3,-,Bailey Marsh,71.18
02/13/2022,JDC Advanced Tour 3,-,Riley Rees-Tucker,83.3
02/13/2022,JDC Advanced Tour 4,-,Henry Coates,81.27
02/13/2022,Players Championship 4,PT,Joe Cullen,96.6
02/18/2022,Development Tour 1,-,Bradley Brooks,88.06
02/18/2022,Development Tour 2,-,Keane Barry,94.12
02/18/2022,European Tour Nordic and Baltic Qualifier 4,Q,Johan Engstrom,85.4
02/19/2022,Development Tour 3,-,Josh Rock,92.53
02/19/2022,Development Tour 4,-,Kevin Doets,88.27
02/19/2022,European Tour Nordic and Baltic Qualifier 5,Q,Dennis Nilsson,3
02/19/2022,European Tour Nordic and Baltic Qualifier 6,Q,Niels Heinsøe,79.15
02/19/2022,European Tour Nordic and Baltic Qualifier 7,Q,Johan Engstrom,90.23
02/20/2022,Development Tour 5,-,Josh Rock,93.93
02/20/2022,European Tour Nordic and Baltic Qualifier 8,Q,Daniel Larsson,85.18
02/20/2022,European Tour Nordic and Baltic Qualifier 9,Q,Johan Engstrom,86.91
02/23/2022,European Tour Associate Member Qualifier 1,Q,Brian Raman,88.05
02/23/2022,European Tour Associate Member Qualifier 2,Q,,
02/23/2022,European Tour Associate Member Qualifier 3,Q,,
02/24/2022,European Tour Home Nation Qualifier 1,Q,,
02/24/2022,European Tour Home Nation Qualifier 2,Q,,
02/24/2022,European Tour Home Nation Qualifier 3,Q,,
02/26/2022,EADC Pro Tour 1,-,Alexei Kadochnikov,85.35
02/26/2022,EADC Pro Tour 2,-,Dmitri Sitkarev,79.82
02/26/2022,JDC Foundation Tour 1,-,Evan Willoughby,72.6
02/26/2022,JDC Foundation Tour 2,-,Bram van Dijk,75.61
02/27/2022,EADC Pro Tour 3,-,Boris Koltsov,95.3
02/27/2022,European Tour 1,ET,Gerwyn Price,100.77
02/27/2022,JDC Foundation Tour 3,-,Evan Willoughby,69.85
02/27/2022,JDC Foundation Tour 4,-,Bram van Dijk,74.29
03/05/2022,European Tour Eastern Europe Qualifier 2,Q,Karel Sedláček,90.36
03/05/2022,European Tour Eastern Europe Qualifier 3,Q,Karel Sedláček,86.35
03/05/2022,Missouri Open Men,-,Dustin Holt,79.47
03/05/2022,Missouri Open Women,-,Julie Weger,56.56
03/06/2022,European Tour Eastern Europe Qualifier 4,Q,Karel Sedláček,88.97
03/06/2022,European Tour Eastern Europe Qualifier 5,Q,Karel Sedláček,84.91
03/06/2022,UK Open,MJ,Danny Noppert,92.95
03/11/2022,DPA Pro Tour - NSW 4,-,David Hanel,78.34
03/11/2022,DPA Pro Tour - QLD 4,-,Raymond Smith,86.79
03/11/2022,DPA Pro Tour - SA 4,-,Danny Porter,74.35
03/11/2022,DPA Pro Tour - VIC 4,-,Brandon Weening,79.58
03/11/2022,DPA Pro Tour - WA 4,-,Bailey Marsh,84.7
03/12/2022,DPA Pro Tour - NSW 5,-,Jamie Browne,74.62
03/12/2022,DPA Pro Tour - QLD 5,-,Raymond Smith,86.63
03/12/2022,DPA Pro Tour - SA 5,-,Rob Modra,79.71
03/12/2022,DPA Pro Tour - VIC 5,-,Brandon Weening,81.72
03/12/2022,DPA Pro Tour - WA 5,-,David Platt,78.64
03/12/2022,Isle of Man Classic - Men,-,James Hurrell,3
03/12/2022,Isle of Man Classic - Women,-,Beau Greaves,3
03/12/2022,Isle of Man Masters - Men,-,Ryan Hogarth,3
03/12/2022,Isle of Man Masters - Women,-,Beau Greaves,3
03/12/2022,Isle of Man Open - Men,-,Dave Prins,3
03/12/2022,Isle of Man Open - Women,-,Beau Greaves,3
03/12/2022,Women's Series 1,-,Lisa Ashton,81.6
03/12/2022,Women's Series 2,-,Lisa Ashton,77.4
03/13/2022,DPA Pro Tour - NSW 6,-,Mitchell Clegg,73.25
03/13/2022,DPA Pro Tour - QLD 6,-,Raymond Smith,92.65
03/13/2022,DPA Pro Tour - SA 6,-,Kevin Young,67.71
03/13/2022,DPA Pro Tour - VIC 6,-,Mal Cuming,77.13
03/13/2022,DPA Pro Tour - WA 6,-,Bailey Marsh,83.92
03/13/2022,European Tour 2,ET,Michael van Gerwen,101.14
03/13/2022,Women's Series 3,-,Fallon Sherrock,79.26
03/13/2022,Women's Series 4,-,Lisa Ashton,83.84
03/18/2022,European Tour Card Holder Qualifier 4,Q,,
03/18/2022,European Tour Card Holder Qualifier 5,Q,,
03/18/2022,Faroe Islands Open Men,-,Henrik Sjoberg,78.87
03/18/2022,Faroe Islands Open Women,-,Anna Forsmark,61.85
03/18/2022,Torshavn Open Men,-,Edwin Torbjornsson,80.16
03/18/2022,Torshavn Open Women,-,Maud Jansson,62.76
03/19/2022,JDC Advanced Tour 5,-,Luke Littler,91.91
03/19/2022,JDC Advanced Tour 6,-,Thomas Banks,85.33
03/19/2022,Players Championship 5,PT,Damon Heta,97.25
03/19/2022,World Seniors Darts Tour 1,-,Richie Howson,87.5
03/20/2022,JDC Advanced Tour 7,-,Henry Coates,83.1
03/20/2022,JDC Advanced Tour 8,-,Luke Littler,93.74
03/20/2022,Players Championship 6,PT,Jim Williams,94.81
03/20/2022,World Seniors Darts Tour 2,-,Mike Huntley,81.06
03/26/2022,Players Championship 7,PT,Gerwyn Price,97.29
03/27/2022,Players Championship 8,PT,Michael van Gerwen,98.86
04/01/2022,Challenge Tour 6,-,Scott Williams,91.01
04/01/2022,Challenge Tour 7,-,Stefan Bellmont,87.43
04/01/2022,Players Championship 9,PT,Danny Jansen,95.65
04/02/2022,Challenge Tour 8,-,Stephen Burton,94.69
04/02/2022,Challenge Tour 9,-,Danny van Trijp,89.76
04/02/2022,JDC Foundation Tour 5,-,Evan Willoughby,77.85
04/02/2022,JDC Foundation Tour 6,-,Evan Willoughby,75.24
