Geburtstag,Plays since,Profi since,Nationality,Handedness,Darts gramm,Name,Name S.
02.01.2007,2021,,Ungarn,Rechtshänderin,, Krisztina Turai,Turai K.
16.10.1983,2001,2016,England,Rechtshänderin,23g, Laura Turner,Turner L.
27.06.1996,2022,,Niederlande,Rechtshänderin,Cosmo Darts, Noa-Lynn van Leuven,van Leuven N.
02.12.1967,,,Kanada,Rechtshänderin,, Darlene van Sleeuwen,van Sleeuwen D.
01.08.1972,2008,,Finnland,Rechtshänderin,Target 21g, Kirsi Viinikainen,Viinikainen K.
27.08.1993,2016,,Niederlande,Rechtshänderin,Wild Roses, Aletta Wajer,Wajer A.
20.11.1994,2009,,Deutschland,Rechtshänderin,, Ann-Kathrin Wigmann,Wigmann A.
05.11.1963,2001,,Deutschland,Rechtshänderin,, Anne Willkomm,Willkomm A.
28.10.1975,1996,2010,England,Rechtshänderin,Target Lorraine Winstanley 24g, Lorraine Winstanley,Winstanley L.
01.09.1958,1994,,England,Rechtshänderin,29g Tungsten Slims, Tricia Wright,Wright T.
19.07.1991,,,China,Rechtshänderin,, Momo Zhou,Zhou M.
03.09.1973,,,Niederländerin,Rechtshänderin,McKicks Phase 2 Black 26g, Anca Zijlstra,Zijlstra A.
,2016,,Deutschland,Rechtshänderin,, Lena Zollikofer,Zollikofer L.
,2017,,Deutschland,Rechtshänderin,, Lisa Zollikofer,Zollikofer L.
