Geburtstag,Plays since,Profi since,Nationality,Handedness,Darts gramm,Name,Name S.
25.06.1990,1999,,Niederlande,,,Jan Dekker,Dekker J.
24.12.1959,,,England,Rechtshänder,Loxley Darts 25g,Keith Deller,Deller K.
25.06.1991,2008,2016,England,Rechtshänder,Unicorn 23g,Matthew Dennant,Dennant M.
,,,Engländer,Rechtshänder,,Carl Dennel,Dennel C.
15.01.1987,2007,2013,England,Rechtshänder,,Nathan Derry,Derry N.
,,,Belgien,Rechtshänder,,John Desreumaux,Desreumaux J.
20.05.1970,1995,,Niederlande,,,Dick van Dijk,van Dijk D.
,,,Italien,Rechtshänder,,Giuseppe di Rocco,di Rocco G.
31.05.1990,2010,2013,England,Rechtshänder,Target Contender Chris Dobey 23g,Chris Dobey,Dobey C.
05.05.1998,2003,,Niederlande,,,Kevin Doets,Doets K.
02.08.1973,1979,2002,Nordirland,Rechtshänder,Winmau 24g,Brendan Dolan,Dolan B.
13.07.1990,,2022,,Rechtshänder,Winmau 25g,Jules van Dongen,van Dongen J.
23.08.1961,2001,2018,England,Linkshänder,Unicorn,Eddie Dootson,Dootson E.
17.11.1977,1993,2010-2016,England,Linkshänder,20g Unicorn Sigma,Steve Douglas,Douglas S.
24.05.1988,2015,,Niederlande,Rechtshänder,,Martijn Dragt,Dragt M.
18.02.1973,2004,,Tschechien,Rechtshänder,,Pavel Drtil,Drtil P.
16.12.1998,2013,,Dänemark,Rechtshänder,Unicorn 25g,Benjamin Drue Reus,Drue Reus B.
14.06.1995,2022,,Deutschland,Rechtshänder,,Jan Dückers,Dückers J.
11.01.1973,1986,2004,England,Rechtshänder,Target 21g,Mark Dudbridge,Dudbridge M.
08.03.2004,,,England,Rechtshänder,,Tavis Dudeney,Dudeney T.
22.07.1972,,,Nordirland,Rechtshänder,RedDragon 23g,Neil Duff,Duff N.
30.06.1992,2006,2011,Niederlande,Rechtshänder,,Dirk van Duijvenbode,van Duijvenbode D.
04.01.1999,,,Niederlande,Rechtshänder,Winmau Phantom Grip Darts 24g,Mike van Duivenbode,van Duivenbode M.
07.08.1989,,,Niederlande,,,Sven van Dun,van Dun S.
24.11.1977,1995,2003,Gibraltar,Rechtshänder,,Dylan Duo,Duo D.
17.01.2006,,,Gibraltar,Rechtshänder,,Dylan Duo Jnr,Duo Jnr D.
,,,Bahrain,Rechtshänder,,Duda Durra,Durra D.
24.11.1970,1985,2005,England,Rechtshänder,Target Duzza Durrant 24g,Glen Durrant,Durrant G.
12.04.1980,2000,,England,Rechtshänder,,Pete Dyos,Dyos P.
21.03.1983,2005,2018,England,Rechtshänder,23g One80,Gary Eastwood,Eastwood G.
08.01.1970,,,England,Rechtshänder,,Tony Eccles,Eccles T.
28.08.1986,2001,2011,England,Rechtshänder,Mission Darts Darts 23g,Matthew Edgar,Edgar M.
19.04.1983,2003,2014,England,Rechtshänder,Mission Darts 23g,Ritchie Edhouse,Edhouse R.
28.08.1987,2012,2017,Belgien,Rechtshänder,Cosmo Royden Lam 22g,Jeffrey van Egdom,van Egdom J.
,1994,,Island,Rechtshänder,Winmau Highlander 24g,Hallgrimur Egilsson,Egilsson H.
25.03.1981,,,Deutschland,Rechtshänder,,Matthias Ehlers,Ehlers M.
09.05.1989,,2015,Deutschland,Rechtshänder,Target Storm Black 23g,René Eidams,Eidams R.
12.09.1977,1993,,Niederlande,Rechtshänder,,Remco van Eijden,van Eijden R.
03.10.1983,,,Deutschland,Rechtshänder,,El Abbas El Amri,Abbas El Amri E.
15.07.1976,2003,,Schweden,Rechtshänder,,Johan Engström,Engström J.
18.07.1982,,,Deutschland,Rechtshänder,,Marcel Erba,Erba M.
,,,Philippinen,Rechtshänder,,RJ Escaros,Escaros R.
12.02.1973,,,Thailand,Rechtshänder,18g Hinotori Signature,Attapol Eupakaree,Eupakaree A.
09.11.1989,2002,2021,England,Rechtshänder,Unicorn 22g,David Evans,Evans D.
18.10.1988,2010,,England,Rechtshänder,Mission Darts 21g,Lee Evans,Evans L.
29.07.1990,2005,2013,England,Rechtshänder,,Ricky Evans,Evans R.
03.08.1997,2013,2016,England,Rechtshänder,Unicorn Ted Evetts 23g,Ted Evetts,Evetts T.
,,,Australien,Rechtshänder,,Jeremy Fagg,Fagg J.
26.03.1965,,,England,Rechtshänder,16g Target,Steve Farmer,Farmer S.
19.08.1988,,,Österreich,Linkshänder,24g,Benjamin Fasching,Fasching B.
21.06.1977,,,Schweiz,Rechtshänder,14g No Name,Alex Fehlmann,Fehlmann A.
05.11.1969,1990,,Serbien,Rechtshänder,20g,Oliver Ferenc,Ferenc O.
,,,Wales,,,Sean Fisher,Fisher S.
05.05.1962,1978,2002,Engand,Rechtshänder,Target Darryl Fitton Silica 24g,Darryl Fitton,Fitton D.
08.08.1986,1999,,Guyana,Linkshänder,Target 22g,Sudesh Fitzgerald,Fitzgerald S.
,1990,,Engländer,,,Andy Fordham,Fordham A.
10.06.1992,2010,,Irland,,,Michael Flynn,Flynn M.
,,,Gibraltar,Rechtshänder,,David Francis,Francis D.
21.10.1981,,,Deutschland,Rechtshänder,,Rupert Frauendienst,Frauendienst R.
05.04.1993,,,Deutschland,Rechtshänder,,Thomas Fraundorfer,Fraundorfer T.
23.10.1971,1987,,England,,,Mark Frost,Frost M.
06.06.1969,1990,2005,England,Rechtshänder,,Nick Fullwell,Fullwell N.
